station_id,triplet,name,state,lat,lon,elevation_m
692,692:WA:SNTL,Pigtail Peak,WA,46.62153,-121.38643,1767.8
1263,1263:WA:SNTL,Pinto Rock,WA,46.32318,-121.94219,1356.4
699,699:WA:SNTL,Pope Ridge,WA,47.9909,-120.56622,1094.2
702,702:WA:SNTL,Potato Hill,WA,46.3497,-121.51415,1365.5
707,707:WA:SNTL,Quartz Peak,WA,47.87927,-117.08938,1435.6
711,711:WA:SNTL,Rainy Pass,WA,48.51865,-120.7358,1487.4
911,911:WA:SNTL,Rex River,WA,47.30218,-121.60475,1161.3
728,728:WA:SNTL,Salmon Meadows,WA,48.65518,-119.8383,1359.4
734,734:WA:SNTL,Sasse Ridge,WA,47.38485,-121.06323,1322.8
1231,1231:WA:SNTL,Satus Pass,WA,45.98797,-120.67734,1207.0
1068,1068:WA:SNTL,Sawmill Ridge,WA,47.15992,-121.42172,1414.3
1043,1043:WA:SNTL,Sentinel Butte,WA,48.86133,-118.39843,1426.5
748,748:WA:SNTL,Sheep Canyon,WA,46.19325,-122.25393,1216.2
1257,1257:WA:SNTL,Skate Creek,WA,46.64336,-121.83044,1149.1
912,912:WA:SNTL,Skookum Creek,WA,47.68433,-121.61007,1011.9
985,985:WA:SNTL,Sourdough Gulch,WA,46.23713,-117.39435,1207.0
776,776:WA:SNTL,Spencer Meadow,WA,46.1795,-121.92661,1036.3
777,777:WA:SNTL,Spirit Lake,WA,46.26113,-122.1772,1072.9
984,984:WA:SNTL,Spruce Springs,WA,46.18287,-117.54155,1734.3
788,788:WA:SNTL,Stampede Pass,WA,47.27427,-121.34162,1173.5
791,791:WA:SNTL,Stevens Pass,WA,47.74607,-121.09288,1200.9
804,804:WA:SNTL,Surprise Lakes,WA,46.09497,-121.76345,1304.5
975,975:WA:SNTL,Swamp Creek,WA,48.57142,-120.78267,1197.9
1012,1012:WA:SNTL,Swift Creek,WA,46.1638,-122.18402,1353.3
817,817:WA:SNTL,Thunder Basin,WA,48.52753,-120.9895,1313.7
899,899:WA:SNTL,Tinkham Creek,WA,47.33198,-121.46975,914.4
824,824:WA:SNTL,Touchet,WA,46.11868,-117.8505,1682.5
1171,1171:WA:SNTL,Trinity,WA,48.07471,-120.84989,880.9
832,832:WA:SNTL,Trough,WA,47.23328,-120.29412,1670.3
841,841:WA:SNTL,Upper Wheeler,WA,47.28734,-120.37015,1319.8
974,974:WA:SNTL,Waterhole,WA,47.94485,-123.42594,1527.0
909,909:WA:SNTL,Wells Creek,WA,48.8661,-121.78976,1231.4
863,863:WA:SNTL,White Pass E.S.,WA,46.64142,-121.38153,1353.3
309,309:WY:SNTL,Bald Mtn.,WY,44.80061,-107.84428,2852.9
314,314:WY:SNTL,Base Camp,WY,43.94019,-110.44544,2145.8
317,317:WY:SNTL,Battle Mountain,WY,41.05402,-107.26674,2273.8
325,325:WY:SNTL,Bear Trap Meadow,WY,43.88743,-107.06135,2499.4
326,326:WY:SNTL,Beartooth Lake,WY,44.94307,-109.56743,2852.9
931,931:WY:SNTL,Big Goose,WY,44.57922,-107.20068,2441.4
342,342:WY:SNTL,Big Sandy Opening,WY,42.6458,-109.25965,2773.7
1119,1119:WY:SNTL,Blackhall Mtn,WY,41.05623,-106.714,2996.2
350,350:WY:SNTL,Blackwater,WY,44.37667,-109.79333,2996.2
353,353:WY:SNTL,Blind Bull Sum,WY,42.96413,-110.60992,2706.6
358,358:WY:SNTL,Bone Springs Div,WY,44.67881,-107.5811,2846.8
367,367:WY:SNTL,Brooklyn Lake,WY,41.36038,-106.23038,3124.2
377,377:WY:SNTL,Burgess Junction,WY,44.78765,-107.52917,2411.0
379,379:WY:SNTL,Burroughs Creek,WY,43.69733,-109.67021,2670.0
384,384:WY:SNTL,Canyon,WY,44.71961,-110.51084,2398.8
389,389:WY:SNTL,Casper Mtn.,WY,42.73362,-106.31789,2420.1
1130,1130:WY:SNTL,Castle Creek,WY,43.6748,-109.3774,2563.4
